,review,reply_cnt,recomm,unrecomm,date
0,지들이 사기치고 장부거래하며 지급해놓고 법적대응? 그동안 얼마나 내부직원들이 돈 찍어냈는지부터 전수조사헤야지,23,,,2026.02.09. 06:18
1,참 웃기다.. 비트코인은 대체불가라 했는데.. 키보드로 찍은 숫자가 그냥 비트코인이 되어 버렸어. 그걸 또 못찾는다니. 코미디가 따로없네,6,,,2026.02.09. 06:52
2,채굴한다더니 찍어내는 위조수표 수준에 온갖 비리에 쓰이는 검은돈인데 얼마나 해먹었는지 감이 안오네,3,,,2026.02.09. 06:29
3,빗썸에 비토코인이 거래대금만큼 가지고는 있음? 장부상 거래로 니들끼리 찍어내는거 아니고?,4,,,2026.02.09. 06:32
4,빗썸이 빚썸 되는 것은 한 순간...,4,,,2026.02.09. 06:17
5,결국 거래소 전산상으로 비트코인이 존재하기만 하면 실제로 보유한거마냥 사고팔고 현금화 할 수 있단 얘기임. 오지급된 비트코인 산 사람은 블록체인 내엔 존재하지도 않는 유령코인을 돈내고 산거고. 회사가 전산조작해서 회사 계정에 비트코인 2000만개 넣어놓고 개미들한테 팔아서 시세 조작할 수도 있음. 거래소 지갑에 들어있는 모든 코인보다 더 발행해도 고객들이 코인 안빼면 아무도 조작된 사실을 모름. 빗썸에 코인 넣은 애들은 당장 빼라ㅋㅋ 실존하는 코인 다 떨어지면 빗썸은 바로 파산이고 니들 돈이랑 코인도 허공으로 날아간다,1,,,2026.02.09. 10:07
6,있지도 않은 비트코인 60만개를 지급했다고? 이거 완전 사기잖어. 사기꾼의 사기행각은 눈감사주는거야?,0,,,2026.02.09. 07:09
7,130개 코인 받은 사람들끼리 뭉쳐서 두당 1억씩 출자해서 김&장 전관예우 변호인단 구성하고 승소 수당까지 걸면...... 빗썸 회사 가볍게 이기고도 남는다~~~ 재밌어지네~~,0,,,2026.02.09. 09:46
8,재밌는 소설이 떠오르네 결국 100개 정도 미회수로 흐지부지 종결 장부에 손실 처리하고 사람들 관심에 잊혀질때쯤 빗썸 사장이 코인 100개가 든 지갑을 보며 웃음짓고 엔딩 ㅎㅎ,0,,,2026.02.09. 08:51
9,철옹성 코인체계가 한 회사의 조작으로 수십조원 어치가 발행되어 현금화 될수 있군요....,0,,,2026.02.09. 07:30
10,ㅋㅋ실제로 물량도 없는데 매도가 된다는게 참ㅋㅋㅋㅋ 사기판이지 이게ㅋㅋ,0,,,2026.02.09. 09:46
11,"근데 없는 비트코인 손가락으로 그냥 찍어서 보낼수는 있다지만, 그걸 다시 팔수 있는 시스템이 진짜 웃긴듯.",0,,,2026.02.09. 09:24
12,,,,,2026.02.09. 18:00
13,있지도 않은 비트코인을 지급할 수 있다는 것 자체가 놀랍다,0,,,2026.02.09. 12:58
14,무죄나올것같은데? 비트62만개는 대체 빗썸이 어떻게 갖고있었던거냐;;;,0,,,2026.02.09. 07:33
15,수십억 땡긴걸로 재빨리 이민가면 됨~ 현금 아니라서 소송도 바로 못함 ㅋㅋ 그냥 날렸다고 보면 됨. 사기거래소 문 닫아라!!,0,,,2026.02.09. 10:07
16,직원이랑 짜면 지구도 살수있겠네.. 은행금고에10만원밖에 없는데 실수로 고객 통장에 숫자 1억찍어줬다는것이잖아. 이런게 사기다.,0,,,2026.02.09. 08:36
17,빗썸담당자가 본인 계좌로 서너개 이체시켜도 아무도 모르겠다 누가 얼마나 빼돌려도 알수없는 비트코인 먼저보는사람 임자다~~,0,,,2026.02.09. 07:46
