,title,summary,press,wdate,link
0,"한화에어로스페이스 ""잠재 수주 최소 20조""…SK네트웍스, 자사주 소각·배당소득 분리과세 기대감 [株토피아]","2월 10일 오전, 주요 증권사 리포트를 정리해드립니다. 한화에어로스페이스는 사우디·미국·스페인 등 글로벌 방산 수주로 잠재 파이프라인..",파이낸셜뉴스,2026-02-10 11:01:22,https://n.news.naver.com/mnews/article/014/0005476192
1,"코스피, 장중 상승폭 줄여…코스닥은 하락 전환",코스피지수가 10일 개인투자자의 '팔자'에 장중 상승폭을 일부 반납했다. 코스닥지수는 하락 전환해 낙폭을 1% 가까이 키우고 있다. 이..,한국경제,2026-02-10 10:57:14,https://n.news.naver.com/mnews/article/015/0005249263
2,"출퇴근길 주식거래 '급증' 21조원 '왔다갔다'…""종목 줄이겠다""",대체거래소(ATS) 넥스트레이드(NXT)가 거래대상 종목을 700개에서 650개로 축소한다. 최근 국내 증시가 강세를 보이면서 거래량과..,이코노미스트,2026-02-10 10:52:11,https://n.news.naver.com/mnews/article/243/0000092846
3,"“어쩐지 심상치 않더니…‘사상 최고치’ 썼다” 난리 난 뉴욕 증시, 오라클 9%↑",9일(현지시간) 미국 뉴욕증시는 기술주가 상승세를 주도하면서 일제히 상승 마감했다. 다우존스 산업평균지수는 전장보다 0.04% 오른 5..,헤럴드경제,2026-02-10 10:41:11,https://n.news.naver.com/mnews/article/016/0002598633
4,"'어닝 쇼크' 제주항공, 지주사 AK홀딩스에 AKIS 매각",제주항공이 유동성 확보 목적으로 최대 주주 AK홀딩스에 자회사 AKIS 지분 전량을 매각한다. 10일 제주항공은 비상장사인 AKIS 주..,아이뉴스24,2026-02-10 10:36:07,https://n.news.naver.com/mnews/article/031/0001004536
5,"“HD현대중공업, 좋은데 더 좋아진다...조선업종 ‘탑 픽’”[줍줍리포트]",HD현대중공업이 실적과 해외 사업 기대감을 바탕으로 조선업종 내 최선호주로 제시됐다. 지난해 발표한 HD현대미포와의 합병에 따라 미국 ..,서울경제,2026-02-10 10:30:08,https://n.news.naver.com/mnews/article/011/0004588728
6,코스닥 정책·기술 모멘텀 공략…‘RISE 바이오Top10액티브’ 주목,정부의 코스닥 활성화 정책이 본격화하면서 자금 유입과 글로벌 제약 산업 구조 변화의 수혜를 동시에 겨냥한 바이오 상장지수펀드(ETF)가..,데일리안,2026-02-10 10:24:15,https://n.news.naver.com/mnews/article/119/0003058091
7,"알로이스, 경영권 분쟁…창업주 ""현 경영진 방만경영""",지난 2015년 설립 이후 매년 40억원 이상의 영업이익을 실현하며 코스닥의 '강소기업'으로 불리던 알로이스가 경영권 분쟁에 휩싸였다...,뉴시스,2026-02-10 10:02:54,https://n.news.naver.com/mnews/article/003/0013760182
8,‘PLUS 우주항공&UAM’ ETF 순자산 3000억 돌파,연초 이후 수익률 56.9%…레버리지 제외 국내 1위 스페이스X IPO 기대감에 우주 밸류체인 부각돼 [헤럴드경제=김유진 기자] 한화자..,헤럴드경제,2026-02-10 09:58:07,https://n.news.naver.com/mnews/article/016/0002598592
9,크래프톤 “게임사로 매력 부족” 목표가 줄하락 [줍줍리포트],‘배틀그라운드(PUBG)’를 비롯한 게임 본질 매력 저하에 크래프톤(259960) 성장성을 의심하는 보고서들이 나왔다. 일부 증권사는 ..,서울경제,2026-02-10 09:52:07,https://n.news.naver.com/mnews/article/011/0004588695
10,코스피 5320선 상승 출발…반도체주 강세 지속,미국 기술주 훈풍이 이어지면서 코스피가 10일 장 초반 5320선에서 상승 흐름을 보이고 있다. 이날 오전 9시 24분 기준 코스피는 ..,강원도민일보,2026-02-10 09:51:07,https://n.news.naver.com/mnews/article/654/0000165951
11,"삼성자산, KODEX 반도체 ETF 순자산 3조 돌파",삼성자산운용은 KODEX 반도체 상장지수펀드(ETF)의 순자산이 3조원을 돌파했다고 10일 밝혔다. 지난해 말 기준 순자산 1조7135..,아시아경제,2026-02-10 09:28:24,https://n.news.naver.com/mnews/article/277/0005719581
12,스페이스X 호재에…‘PLUS 우주항공&UAM’ 순자산 3000억 돌파,한화자산운용의 ‘PLUS 우주항공&UAM’ 순자산이 3000억원을 돌파했다. 10일 한국거래소에 따르면 전일(9일) 종가 기준 ‘PLU..,데일리안,2026-02-10 09:28:10,https://n.news.naver.com/mnews/article/119/0003058043
13,코스피 5300선 상승 출발…미국 기술주 반등·외국인 매수 영향,코스피가 간밤 뉴욕증시의 기술주 반등과 외국인 매수세에 힘입어 5300선을 돌파하며 장을 개시했다. 10일 오전 9시13분 현재 코스피..,머니투데이,2026-02-10 09:27:49,https://n.news.naver.com/mnews/article/008/0005316369
14,"코스피, 5300선 사수…美 기술주 훈풍에 상승세",코스닥 1130선 강세 코스피가 미국 기술주 반등에 힘입어 상승세를 이어가고 있다. 한국거래소에 따르면 10일 오전 9시 6분 기준 코..,더팩트,2026-02-10 09:25:11,https://n.news.naver.com/mnews/article/629/0000471254
15,"코스피, 美 기술주 강세에 1%대 상승 '5350선'...코스닥, 0.88% 상승",간밤 미국 증시가 대형 기술주 중심으로 상승한 데 힘입어 국내 증시도 1%대 강세를 보이고 있다. 코스피 상승 출발 (사진=뉴시스) 엠..,이데일리,2026-02-10 09:19:07,https://n.news.naver.com/mnews/article/018/0006216425
